statement_id,turn_id,speaker,timestamp,timestamp_seconds,original_text,normalized_text,position_in_turn,word_count,is_short,has_redacted_name,dialogue_act,dialogue_confidence,requirement_candidate
S054,T014,spk_1,2026-08-27 00:04:11,251,for the budgeting system?,for the budgeting system?,0,4,False,False,question,0.380351156,False
S055,T014,spk_1,2026-08-27 00:04:11,251,I think the IFA administrative and that's all that's all just the IFA And the teams.,I think the IFA administrative and that's all that's all just the IFA And the teams.,1,16,False,False,answer,0.21891839800000001,False
S056,T014,spk_1,2026-08-27 00:04:11,251,Okay.,Okay.,2,1,True,False,clarification,0.3142276406,False
S057,T014,spk_1,2026-08-27 00:04:11,251,Okay.,Okay.,3,1,True,False,clarification,0.3142276406,False
S058,T014,spk_1,2026-08-27 00:04:11,251,Okay.,Okay.,4,1,True,False,clarification,0.3142276406,False
S059,T015,spk_0,2026-08-27 00:04:22,262,Um All right.,All right.,0,2,True,False,clarification,0.3409101665,False
S060,T015,spk_0,2026-08-27 00:04:22,262,So fine.,So fine.,1,2,True,False,agreement,0.4579830468,False
S061,T015,spk_0,2026-08-27 00:04:22,262,Uh I think we have covered the budgeting uh section for now um Now regarding the reports.,I think we have covered the budgeting section for now Now regarding the reports.,2,14,False,False,agreement,0.2994577885,False
S062,T015,spk_0,2026-08-27 00:04:22,262,"So it is it is said that you you received reports from various teams and their referees, coaches and referees and everything.","So it is it is said that you received reports from various teams and their referees, coaches and referees and everything.",3,21,False,False,answer,0.3074838519,False
S063,T015,spk_0,2026-08-27 00:04:22,262,So uh say I am a team and I have a referee.,So say I am a team and I have a referee.,4,11,False,False,agreement,0.2160897255,False
S064,T015,spk_0,2026-08-27 00:04:22,262,So how many reports do you expect?,So how many reports do you expect?,5,7,False,False,question,0.5357792377,False
S065,T015,spk_0,2026-08-27 00:04:22,262,I mean one from the referee.,one from the referee.,6,4,False,False,answer,0.32101133470000004,False
S066,T015,spk_0,2026-08-27 00:04:22,262,One from the team captain.,One from the team captain.,7,5,False,False,answer,0.2630493045,False
S067,T015,spk_0,2026-08-27 00:04:22,262,Or how does it go?,Or how does it go?,8,5,False,False,question,0.4966408908,False
S068,T016,spk_1,2026-08-27 00:04:54,294,Which reports you're referring to?,Which reports you're referring to?,0,5,False,False,question,0.47414726020000003,False
S069,T017,spk_2,2026-08-27 00:04:56,296,Like other than the budgeting and the financials.,Like other than the budgeting and the financials.,0,8,False,False,question,0.28918382530000003,False
S070,T017,spk_2,2026-08-27 00:04:56,296,Do you receive reports on the games themselves?,Do you receive reports on the games themselves?,1,8,False,False,question,0.5154393911,False
S071,T017,spk_2,2026-08-27 00:04:56,296,What's happening with the scheduling?,What's happening with the scheduling?,2,5,False,False,question,0.5538079143,False
S072,T017,spk_2,2026-08-27 00:04:56,296,What?,What?,3,1,True,False,question,0.5546905994,False
S073,T017,spk_2,2026-08-27 00:04:56,296,Yeah.,Yeah.,4,1,True,False,clarification,0.2715659738,False
S074,T018,spk_1,2026-08-27 00:05:04,304,Okay.,Okay.,0,1,True,False,clarification,0.31422743200000003,False
S075,T018,spk_1,2026-08-27 00:05:04,304,So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA.,So what are currently what is being done in the er in the end the games that the referee probably is writing some kind of report and then you set it over to the IFA.,1,35,False,False,question,0.3087618947,False
S076,T018,spk_1,2026-08-27 00:05:04,304,"The system, in the system to be Uh I would like them to referee to insert the events that occurred during the game.","The system, in the system to be I would like them to referee to insert the events that occurred during the game.",2,22,False,False,feature request,0.2091094404,True
S077,T018,spk_1,2026-08-27 00:05:04,304,Real time.,Real time.,3,2,True,False,priority,0.2331316173,False
S078,T018,spk_1,2026-08-27 00:05:04,304,So I would expect him to use his mobile phone to record the event in real time.,So I would expect him to use his mobile phone to record the event in real time.,4,17,False,False,clarification,0.1655192077,False
S079,T018,spk_1,2026-08-27 00:05:04,304,It can be the main referee or the side referee or they can insert and only then can insert event of the of the game.,It can be the main referee or the side referee or they can insert and only then can insert event of the of the game.,5,25,False,False,agreement,0.1853734404,True
S080,T018,spk_1,2026-08-27 00:05:04,304,Since we would like to have the other information as reliable as possible.,Since we would like to have the other information as reliable as possible.,6,13,False,False,clarification,0.1992693096,True
S081,T018,spk_1,2026-08-27 00:05:04,304,So only the referee can update the event that the country during the game.,So only the referee can update the event that the country during the game.,7,14,False,False,constraint,0.265032649,True
S082,T018,spk_1,2026-08-27 00:05:04,304,This can be for example scoring a goal and offside uh red card uh player replacement and things like that.,This can be for example scoring a goal and offside red card player replacement and things like that.,8,18,False,False,clarification,0.3092642725,False
S083,T018,spk_1,2026-08-27 00:05:04,304,So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.,So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.,9,21,False,False,clarification,0.3191629052,True
S084,T019,spk_2,2026-08-27 00:06:18,378,"Okay I'm currently do you have, sorry","Okay I'm currently do you have, sorry",0,7,False,False,correction,0.2307952493,True
S085,T020,spk_1,2026-08-27 00:06:21,381,Go ahead.,Go ahead.,0,2,True,False,agreement,0.2227009684,False
S086,T021,spk_2,2026-08-27 00:06:22,382,Currently do you have any any way to aggregate this data?,Currently do you have any way to aggregate this data?,0,10,False,False,question,0.38042977450000004,False
S087,T021,spk_2,2026-08-27 00:06:22,382,For example after the season?,For example after the season?,1,5,False,False,question,0.3559471369,False
S088,T021,spk_2,2026-08-27 00:06:22,382,How many red cards each team got?,How many red cards each team got?,2,7,False,False,question,0.5523973107,False
S089,T021,spk_2,2026-08-27 00:06:22,382,How many goals each team scored.,How many goals each team scored.,3,6,False,False,question,0.3978494406,False
S090,T021,spk_2,2026-08-27 00:06:22,382,Do the teams have access to this kind of data through you now?,Do the teams have access to this kind of data through you now?,4,13,False,False,question,0.4263613224,False
S091,T022,spk_1,2026-08-27 00:06:35,395,So everyone is able to see the entire data.,So everyone is able to see the entire data.,0,9,False,False,agreement,0.18175184730000002,False
S092,T022,spk_1,2026-08-27 00:06:35,395,"Even a guest to the system is able to see the final grain data, which is okay.","Even a guest to the system is able to see the final grain data, which is okay.",1,17,False,False,agreement,0.2086147815,True
S093,T022,spk_1,2026-08-27 00:06:35,395,Everyone can do analysis of what did that whatever it like.,Everyone can do analysis of what did that whatever it like.,2,11,False,False,question,0.2858198285,False
S094,T022,spk_1,2026-08-27 00:06:35,395,"one of the the goal of the system is to increase, sorry, transparency.","one of the goal of the system is to increase, sorry, transparency.",3,12,False,False,correction,0.3687971532,True
S095,T022,spk_1,2026-08-27 00:06:35,395,So the idea is that this kind of data is revealed to everyone.,So the idea is that this kind of data is revealed to everyone.,4,13,False,False,clarification,0.2908990681,False
S096,T022,spk_1,2026-08-27 00:06:35,395,"Even if you are not registered to the system you should be able to look into such data, not the budget but the data that refer to the game, the results","Even if you are not registered to the system you should be able to look into such data, not the budget but the data that refer to the game, the results",5,31,False,False,clarification,0.20016650860000001,True
S097,T023,spk_2,2026-08-27 00:07:12,432,"and you can, you can export or you want to be able to export this data to like journalists or press or whatever.","and you can, you can export or you want to be able to export this data to like journalists or press or whatever.",0,23,False,False,feature request,0.2830496728,True
S098,T023,spk_2,2026-08-27 00:07:12,432,Okay.,Okay.,1,1,True,False,clarification,0.314227134,False
S099,T023,spk_2,2026-08-27 00:07:12,432,And this is not available now as far as I understand.,And this is not available now as far as I understand.,2,11,False,False,disagreement,0.2424036413,False
S100,T024,spk_1,2026-08-27 00:07:20,440,Indeed.,Indeed.,0,1,True,False,answer,0.3231871128,False
S101,T025,spk_0,2026-08-27 00:07:23,443,"So the referee uh, data from referee is not at all confidential available very easily.","So the referee , data from referee is not at all confidential available very easily.",0,15,False,False,clarification,0.1709108055,False
S102,T025,spk_0,2026-08-27 00:07:23,443,Um there's one more reporting questions.,there's one more reporting questions.,1,5,False,False,question,0.7176012993,False
S103,T025,spk_0,2026-08-27 00:07:23,443,So um is there any kind of reports that you receive or want to receive regarding?,So is there any kind of reports that you receive or want to receive regarding?,2,15,False,False,question,0.5375316739,True
S104,T025,spk_0,2026-08-27 00:07:23,443,Say say I am a team manager.,Say I am a team manager.,3,6,False,False,clarification,0.2694770694,False
S105,T025,spk_0,2026-08-27 00:07:23,443,And do you want to report from me saying that I have a new player in my team or this player will be leaving my team?,And do you want to report from me saying that I have a new player in my team or this player will be leaving my team?,4,26,False,False,question,0.2457461804,True
S106,T025,spk_0,2026-08-27 00:07:23,443,"So if we played some tournaments, we had these many events and these many losses, something like that.","So if we played some tournaments, we had these many events and these many losses, something like that.",5,18,False,False,disagreement,0.267878592,False
S107,T026,spk_1,2026-08-27 00:07:55,475,"Again, for the team, the entire resources of that.","Again, for the team, the entire resources of that.",0,9,False,False,clarification,0.25213712450000003,False
S108,T026,spk_1,2026-08-27 00:07:55,475,"It's managed, for example the play the coaches uh statue the budget transaction, everything it can do whatever it likes.","It's managed, for example the play the coaches statue the budget transaction, everything it can do whatever it likes.",1,19,False,False,clarification,0.21896936,False
S109,T026,spk_1,2026-08-27 00:07:55,475,It it's open for the team so we can query and many of its own calculation.,It's open for the team so we can query and many of its own calculation.,2,15,False,False,question,0.4290874898,False
S110,T026,spk_1,2026-08-27 00:07:55,475,I'm not expecting that the city will support any kind of queries or allow.,I'm not expecting that the city will support any kind of queries or allow.,3,14,False,False,disagreement,0.4248671234,True
S111,T026,spk_1,2026-08-27 00:07:55,475,"But the system will allow the team manager, the team administration to uh look into this data and then reform its analysis offline.","But the system will allow the team manager, the team administration to look into this data and then reform its analysis offline.",4,22,False,False,clarification,0.21392112970000002,True
S112,T027,spk_2,2026-08-27 00:08:31,511,Okay.,Okay.,0,1,True,False,clarification,0.3142276108,False
S113,T027,spk_2,2026-08-27 00:08:31,511,And the budgeting and the money.,And the budgeting and the money.,1,6,False,False,clarification,0.1923374385,False
S114,T027,spk_2,2026-08-27 00:08:31,511,Our financial data is available to everybody inside IFA Or the finance department,Our financial data is available to everybody inside IFA Or the finance department,2,13,False,False,agreement,0.256544739,False
S115,T028,spk_1,2026-08-27 00:08:39,519,Just the team.,Just the team.,0,3,True,False,agreement,0.2692558765,False
S116,T028,spk_1,2026-08-27 00:08:39,519,Each team separately.,Each team separately.,1,3,True,False,disagreement,0.22451725600000003,False
S117,T029,spk_2,2026-08-27 00:08:41,521,Okay.,Okay.,0,1,True,False,clarification,0.3142276406,False
S118,T030,spk_1,2026-08-27 00:08:44,524,There are two issues.,There are two issues.,0,4,False,False,disagreement,0.3034591079,False
S119,T030,spk_1,2026-08-27 00:08:44,524,The insertion of budget transaction and items.,The insertion of budget transaction and items.,1,7,False,False,agreement,0.2703075111,False
S120,T030,spk_1,2026-08-27 00:08:44,524,It's done only by the teams.,It's done only by the teams.,2,6,False,False,agreement,0.2471939027,True
S121,T030,spk_1,2026-08-27 00:08:44,524,Okay.,Okay.,3,1,True,False,clarification,0.3142276108,False
S122,T030,spk_1,2026-08-27 00:08:44,524,They can only access their own data.,They can only access their own data.,4,7,False,False,constraint,0.29562163350000004,True
S123,T030,spk_1,2026-08-27 00:08:44,524,Okay.,Okay.,5,1,True,False,clarification,0.3142272532,False
S124,T030,spk_1,2026-08-27 00:08:44,524,The IFA then only view the entire monetary information.,The IFA then only view the entire monetary information.,6,9,False,False,clarification,0.2132602334,True
S125,T030,spk_1,2026-08-27 00:08:44,524,Okay.,Okay.,7,1,True,False,clarification,0.3142276406,False
S126,T030,spk_1,2026-08-27 00:08:44,524,Okay.,Okay.,8,1,True,False,clarification,0.31422743200000003,False
S127,T030,spk_1,2026-08-27 00:08:44,524,"You can monitor, it cannot uh it can alert, it can uh request for details for adjustment but it cannot form operations over the data","You can monitor, it cannot it can alert, it can request for details for adjustment but it cannot form operations over the data",9,23,False,False,disagreement,0.30825448040000003,False
S128,T031,spk_0,2026-08-27 00:09:23,563,Okay uh Yes.,Okay Yes.,0,2,True,False,agreement,0.2862505615,False
S129,T031,spk_0,2026-08-27 00:09:23,563,Uh Okay.,Okay.,1,1,True,False,clarification,0.3142276704,False
S130,T031,spk_0,2026-08-27 00:09:23,563,We understand now what the requirements are with the reporting and the budget section.,We understand now what the requirements are with the reporting and the budget section.,2,14,False,False,clarification,0.3602340817,False
S131,T031,spk_0,2026-08-27 00:09:23,563,Uh Moving on to scheduling.,Moving on to scheduling.,3,4,False,False,clarification,0.28670474890000003,False
S132,T031,spk_0,2026-08-27 00:09:23,563,Uh How do you schedule the matches now?,How do you schedule the matches now?,4,7,False,False,question,0.443967104,False
S133,T031,spk_0,2026-08-27 00:09:23,563,Like how often do you plan a tournament?,Like how often do you plan a tournament?,5,8,False,False,question,0.41309008,False
S134,T031,spk_0,2026-08-27 00:09:23,563,And how do you schedule the matches between teams?,And how do you schedule the matches between teams?,6,9,False,False,question,0.3830706477,False
S135,T032,spk_1,2026-08-27 00:09:39,579,Okay.,Okay.,0,1,True,False,clarification,0.314227283,False
S136,T032,spk_1,2026-08-27 00:09:39,579,"So currently for each uh league in each season season meaning year, uh, there is a manual scheduling once a year.","So currently for each league in each season meaning year, , there is a manual scheduling once a year.",1,19,False,False,clarification,0.31037655470000003,False
S137,T032,spk_1,2026-08-27 00:09:39,579,Okay.,Okay.,2,1,True,False,clarification,0.3142276704,False
S138,T032,spk_1,2026-08-27 00:09:39,579,"It's done manually, uh, maybe without taking into um consideration many constraints.","It's done manually, , maybe without taking into consideration many constraints.",3,11,False,False,clarification,0.18669039010000002,False
S139,T032,spk_1,2026-08-27 00:09:39,579,Okay.,Okay.,4,1,True,False,clarification,0.314227134,False
S140,T032,spk_1,2026-08-27 00:09:39,579,"Uh, so what I would like the system to have, is to have the ability to define policy of how to schedule games.",", so what I would like the system to have, is to have the ability to define policy of how to schedule games.",5,23,False,False,feature request,0.2915073335,True
S141,T032,spk_1,2026-08-27 00:09:39,579,"For example, a common policy is that each game, it's uh, a pair of teams they too can sale, once in the in team A stadium and once in team B stadium, this is a common practice.","For example, a common policy is that each game, it's , a pair of teams they too can sale, once in the in team A stadium and once in team B stadium, this is a common practice.",6,37,False,False,agreement,0.48170387740000004,False
S142,T032,spk_1,2026-08-27 00:09:39,579,So there was a need to determine the this kind of policy.,So there was a need to determine the this kind of policy.,7,12,False,False,constraint,0.2326027602,True
S143,T032,spk_1,2026-08-27 00:09:39,579,"Maybe we'll like to have a minimal uh, time between matches among the same pair.","Maybe we'll like to have a minimal , time between matches among the same pair.",8,15,False,False,feature request,0.1948766857,True
S144,T032,spk_1,2026-08-27 00:09:39,579,"Uh, maybe it would like to say, uh set the date for uh, the day in the week in which the competition will take place, and many other things that regarding that policy.",", maybe it would like to say, set the date for , the day in the week in which the competition will take place, and many other things that regarding that policy.",9,32,False,False,clarification,0.2274726182,True
S145,T032,spk_1,2026-08-27 00:09:39,579,So this kind of constraints should be taken into account when executing the the scheduling algorithm.,So this kind of constraints should be taken into account when executing the scheduling algorithm.,10,15,False,False,constraint,0.5144520402,True
S146,T033,spk_2,2026-08-27 00:11:13,673,Okay.,Okay.,0,1,True,False,clarification,0.3142276108,False
S147,T033,spk_2,2026-08-27 00:11:13,673,Okay.,Okay.,1,1,True,False,clarification,0.314227283,False
S148,T033,spk_2,2026-08-27 00:11:13,673,And uh and how how would the referees take in this scheduling now?,And and how would the referees take in this scheduling now?,2,11,False,False,question,0.4360788465,False
S149,T033,spk_2,2026-08-27 00:11:13,673,How how does it work now?,How does it work now?,3,5,False,False,question,0.6186721325,False
S150,T033,spk_2,2026-08-27 00:11:13,673,I mean which referee is is assigned to which game?,which referee is assigned to which game?,4,7,False,False,question,0.4783635437,False
S151,T034,spk_1,2026-08-27 00:11:24,684,Okay.,Okay.,0,1,True,False,clarification,0.3142272532,False
S152,T034,spk_1,2026-08-27 00:11:24,684,"So in my view, the currently this is done also manually.","So in my view, the currently this is done also manually.",1,11,False,False,opinion,0.2189324051,False
S153,T034,spk_1,2026-08-27 00:11:24,684,The administer calls the referee.,The administer calls the referee.,2,5,False,False,disagreement,0.2137696147,False
S154,T034,spk_1,2026-08-27 00:11:24,684,Can you uh can you participate in that game?,Can you can you participate in that game?,3,8,False,False,question,0.3192351758,False
S155,T034,spk_1,2026-08-27 00:11:24,684,"And that's how the scheduling is happening and the enforcement of this policy, again, it's done manually.","And that's how the scheduling is happening and the enforcement of this policy, again, it's done manually.",4,17,False,False,answer,0.22538660470000002,False
S156,T034,spk_1,2026-08-27 00:11:24,684,"So for uh for the referee as well, the system should be uh should have some kind of uh guidance of how to allocate referees to games.","So for for the referee as well, the system should be should have some kind of guidance of how to allocate referees to games.",5,24,False,False,clarification,0.2098814696,True
S157,T034,spk_1,2026-08-27 00:11:24,684,"For example, we wouldn't like the same refereee to participate in the game and two games of the same teams.","For example, we wouldn't like the same refereee to participate in the game and two games of the same teams.",6,20,False,False,disagreement,0.3541834354,False
S158,T034,spk_1,2026-08-27 00:11:24,684,Okay.,Okay.,7,1,True,False,clarification,0.3142273128,False
S159,T034,spk_1,2026-08-27 00:11:24,684,Okay.,Okay.,8,1,True,False,clarification,0.3142271638,False
S160,T034,spk_1,2026-08-27 00:11:24,684,"Uh this yeah, for another example is that we would like to all referees to participate in the same number of games.","this yeah, for another example is that we would like to all referees to participate in the same number of games.",9,21,False,False,answer,0.24944083390000002,True
S161,T035,spk_2,2026-08-27 00:12:27,747,"Okay,","Okay,",0,1,True,False,clarification,0.29856964950000003,False
S162,T036,spk_1,2026-08-27 00:12:29,749,"So I would like the system to be able to uh facilitate the definition of such policy and then based on that policy to assign the referee to the games, it might be also that the system will enable the referees to install their preferences.","So I would like the system to be able to facilitate the definition of such policy and then based on that policy to assign the referee to the games, it might be also that the system will enable the referees to install their preferences.",0,44,False,False,feature request,0.320269376,True
S163,T036,spk_1,2026-08-27 00:12:29,749,Okay.,Okay.,1,1,True,False,clarification,0.314227283,False
S164,T036,spk_1,2026-08-27 00:12:29,749,"For example, since I planned already my vacation for the next year, I cannot participate in these days.","For example, since I planned already my vacation for the next year, I cannot participate in these days.",2,18,False,False,disagreement,0.2839681208,False
S165,T036,spk_1,2026-08-27 00:12:29,749,So when scheduling it will take these constraints as well.,So when scheduling it will take these constraints as well.,3,10,False,False,constraint,0.3631846607,True
S166,T037,spk_2,2026-08-27 00:13:07,787,Okay.,Okay.,0,1,True,False,clarification,0.3142272532,False
S167,T037,spk_2,2026-08-27 00:13:07,787,"And of course now, because it's done manually, we cannot accommodate such requests.","And of course now, because it's done manually, we cannot accommodate such requests.",1,13,False,False,constraint,0.30411216620000003,True
S168,T038,spk_1,2026-08-27 00:13:11,791,Indeed.,Indeed.,0,1,True,False,answer,0.32318729160000004,False
S169,T039,spk_2,2026-08-27 00:13:12,792,Okay.,Okay.,0,1,True,False,clarification,0.3142276406,False
