statement_id,turn_id,speaker,timestamp,timestamp_seconds,original_text,normalized_text,position_in_turn,word_count,is_short,has_redacted_name,dialogue_act,dialogue_confidence
S080,T018,spk_1,0:05:04,304,Since we would like to have the other information as reliable as possible.,Since we would like to have the other information as reliable as possible.,6,13,False,False,clarification,0.19926930963993073
S081,T018,spk_1,0:05:04,304,So only the referee can update the event that the country during the game.,So only the referee can update the event that the country during the game.,7,14,False,False,constraint,0.26503264904022217
S082,T018,spk_1,0:05:04,304,This can be for example scoring a goal and offside uh red card uh player replacement and things like that.,This can be for example scoring a goal and offside red card player replacement and things like that.,8,18,False,False,clarification,0.30926427245140076
S083,T018,spk_1,0:05:04,304,So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.,So each event will have its timestamp the event itself and maybe additional information that is required for the specific event.,9,21,False,False,clarification,0.31916290521621704
S084,T019,spk_2,0:06:18,378,"Okay I'm currently do you have, sorry","Okay I'm currently do you have, sorry",0,7,False,False,correction,0.2307952493429184
S085,T020,spk_1,0:06:21,381,Go ahead.,Go ahead.,0,2,True,False,agreement,0.22270096838474274
S086,T021,spk_2,0:06:22,382,Currently do you have any any way to aggregate this data?,Currently do you have any way to aggregate this data?,0,10,False,False,question,0.38042977452278137
S087,T021,spk_2,0:06:22,382,For example after the season?,For example after the season?,1,5,False,False,question,0.3559471368789673
S088,T021,spk_2,0:06:22,382,How many red cards each team got?,How many red cards each team got?,2,7,False,False,question,0.5523973107337952
S089,T021,spk_2,0:06:22,382,How many goals each team scored.,How many goals each team scored.,3,6,False,False,question,0.397849440574646
S090,T021,spk_2,0:06:22,382,Do the teams have access to this kind of data through you now?,Do the teams have access to this kind of data through you now?,4,13,False,False,question,0.4263613224029541
S091,T022,spk_1,0:06:35,395,So everyone is able to see the entire data.,So everyone is able to see the entire data.,0,9,False,False,agreement,0.18175184726715088
S092,T022,spk_1,0:06:35,395,"Even a guest to the system is able to see the final grain data, which is okay.","Even a guest to the system is able to see the final grain data, which is okay.",1,17,False,False,agreement,0.208614781498909
S093,T022,spk_1,0:06:35,395,Everyone can do analysis of what did that whatever it like.,Everyone can do analysis of what did that whatever it like.,2,11,False,False,question,0.2858198285102844
S094,T022,spk_1,0:06:35,395,"one of the the goal of the system is to increase, sorry, transparency.","one of the goal of the system is to increase, sorry, transparency.",3,12,False,False,correction,0.3687971532344818
S095,T022,spk_1,0:06:35,395,So the idea is that this kind of data is revealed to everyone.,So the idea is that this kind of data is revealed to everyone.,4,13,False,False,clarification,0.2908990681171417
S096,T022,spk_1,0:06:35,395,"Even if you are not registered to the system you should be able to look into such data, not the budget but the data that refer to the game, the results","Even if you are not registered to the system you should be able to look into such data, not the budget but the data that refer to the game, the results",5,31,False,False,clarification,0.2001665085554123
S097,T023,spk_2,0:07:12,432,"and you can, you can export or you want to be able to export this data to like journalists or press or whatever.","and you can, you can export or you want to be able to export this data to like journalists or press or whatever.",0,23,False,False,feature request,0.28304967284202576
S098,T023,spk_2,0:07:12,432,Okay.,Okay.,1,1,True,False,clarification,0.3142271339893341
S099,T023,spk_2,0:07:12,432,And this is not available now as far as I understand.,And this is not available now as far as I understand.,2,11,False,False,disagreement,0.24240364134311676
S100,T024,spk_1,0:07:20,440,Indeed.,Indeed.,0,1,True,False,answer,0.32318711280822754
S101,T025,spk_0,0:07:23,443,"So the referee uh, data from referee is not at all confidential available very easily.","So the referee , data from referee is not at all confidential available very easily.",0,15,False,False,clarification,0.1709108054637909
S102,T025,spk_0,0:07:23,443,Um there's one more reporting questions.,there's one more reporting questions.,1,5,False,False,question,0.7176012992858887
S103,T025,spk_0,0:07:23,443,So um is there any kind of reports that you receive or want to receive regarding?,So is there any kind of reports that you receive or want to receive regarding?,2,15,False,False,question,0.5375316739082336
S104,T025,spk_0,0:07:23,443,Say say I am a team manager.,Say I am a team manager.,3,6,False,False,clarification,0.26947706937789917
S105,T025,spk_0,0:07:23,443,And do you want to report from me saying that I have a new player in my team or this player will be leaving my team?,And do you want to report from me saying that I have a new player in my team or this player will be leaving my team?,4,26,False,False,question,0.2457461804151535
S106,T025,spk_0,0:07:23,443,"So if we played some tournaments, we had these many events and these many losses, something like that.","So if we played some tournaments, we had these many events and these many losses, something like that.",5,18,False,False,disagreement,0.26787859201431274
S107,T026,spk_1,0:07:55,475,"Again, for the team, the entire resources of that.","Again, for the team, the entire resources of that.",0,9,False,False,clarification,0.25213712453842163
S108,T026,spk_1,0:07:55,475,"It's managed, for example the play the coaches uh statue the budget transaction, everything it can do whatever it likes.","It's managed, for example the play the coaches statue the budget transaction, everything it can do whatever it likes.",1,19,False,False,clarification,0.21896935999393463
S109,T026,spk_1,0:07:55,475,It it's open for the team so we can query and many of its own calculation.,It's open for the team so we can query and many of its own calculation.,2,15,False,False,question,0.42908748984336853
S110,T026,spk_1,0:07:55,475,I'm not expecting that the city will support any kind of queries or allow.,I'm not expecting that the city will support any kind of queries or allow.,3,14,False,False,disagreement,0.4248671233654022
S111,T026,spk_1,0:07:55,475,"But the system will allow the team manager, the team administration to uh look into this data and then reform its analysis offline.","But the system will allow the team manager, the team administration to look into this data and then reform its analysis offline.",4,22,False,False,clarification,0.21392112970352173
S112,T027,spk_2,0:08:31,511,Okay.,Okay.,0,1,True,False,clarification,0.3142276108264923
S113,T027,spk_2,0:08:31,511,And the budgeting and the money.,And the budgeting and the money.,1,6,False,False,clarification,0.19233743846416473
S114,T027,spk_2,0:08:31,511,Our financial data is available to everybody inside IFA Or the finance department,Our financial data is available to everybody inside IFA Or the finance department,2,13,False,False,agreement,0.25654473900794983
S115,T028,spk_1,0:08:39,519,Just the team.,Just the team.,0,3,True,False,agreement,0.2692558765411377
S116,T028,spk_1,0:08:39,519,Each team separately.,Each team separately.,1,3,True,False,disagreement,0.22451725602149963
S117,T029,spk_2,0:08:41,521,Okay.,Okay.,0,1,True,False,clarification,0.3142276406288147
S118,T030,spk_1,0:08:44,524,There are two issues.,There are two issues.,0,4,False,False,disagreement,0.303459107875824
S119,T030,spk_1,0:08:44,524,The insertion of budget transaction and items.,The insertion of budget transaction and items.,1,7,False,False,agreement,0.2703075110912323
S120,T030,spk_1,0:08:44,524,It's done only by the teams.,It's done only by the teams.,2,6,False,False,agreement,0.24719390273094177
S121,T030,spk_1,0:08:44,524,Okay.,Okay.,3,1,True,False,clarification,0.3142276108264923
S122,T030,spk_1,0:08:44,524,They can only access their own data.,They can only access their own data.,4,7,False,False,constraint,0.2956216335296631
S123,T030,spk_1,0:08:44,524,Okay.,Okay.,5,1,True,False,clarification,0.31422725319862366
S124,T030,spk_1,0:08:44,524,The IFA then only view the entire monetary information.,The IFA then only view the entire monetary information.,6,9,False,False,clarification,0.2132602334022522
S125,T030,spk_1,0:08:44,524,Okay.,Okay.,7,1,True,False,clarification,0.3142276406288147
S126,T030,spk_1,0:08:44,524,Okay.,Okay.,8,1,True,False,clarification,0.314227432012558
S127,T030,spk_1,0:08:44,524,"You can monitor, it cannot uh it can alert, it can uh request for details for adjustment but it cannot form operations over the data","You can monitor, it cannot it can alert, it can request for details for adjustment but it cannot form operations over the data",9,23,False,False,disagreement,0.3082544803619385
S128,T031,spk_0,0:09:23,563,Okay uh Yes.,Okay Yes.,0,2,True,False,agreement,0.2862505614757538
S129,T031,spk_0,0:09:23,563,Uh Okay.,Okay.,1,1,True,False,clarification,0.3142276704311371
S130,T031,spk_0,0:09:23,563,We understand now what the requirements are with the reporting and the budget section.,We understand now what the requirements are with the reporting and the budget section.,2,14,False,False,clarification,0.3602340817451477
S131,T031,spk_0,0:09:23,563,Uh Moving on to scheduling.,Moving on to scheduling.,3,4,False,False,clarification,0.28670474886894226
S132,T031,spk_0,0:09:23,563,Uh How do you schedule the matches now?,How do you schedule the matches now?,4,7,False,False,question,0.4439671039581299
S133,T031,spk_0,0:09:23,563,Like how often do you plan a tournament?,Like how often do you plan a tournament?,5,8,False,False,question,0.4130900800228119
S134,T031,spk_0,0:09:23,563,And how do you schedule the matches between teams?,And how do you schedule the matches between teams?,6,9,False,False,question,0.3830706477165222
S135,T032,spk_1,0:09:39,579,Okay.,Okay.,0,1,True,False,clarification,0.31422728300094604
S136,T032,spk_1,0:09:39,579,"So currently for each uh league in each season season meaning year, uh, there is a manual scheduling once a year.","So currently for each league in each season meaning year, , there is a manual scheduling once a year.",1,19,False,False,clarification,0.3103765547275543
S137,T032,spk_1,0:09:39,579,Okay.,Okay.,2,1,True,False,clarification,0.3142276704311371
S138,T032,spk_1,0:09:39,579,"It's done manually, uh, maybe without taking into um consideration many constraints.","It's done manually, , maybe without taking into consideration many constraints.",3,11,False,False,clarification,0.18669039011001587
S139,T032,spk_1,0:09:39,579,Okay.,Okay.,4,1,True,False,clarification,0.3142271339893341
S140,T032,spk_1,0:09:39,579,"Uh, so what I would like the system to have, is to have the ability to define policy of how to schedule games.",", so what I would like the system to have, is to have the ability to define policy of how to schedule games.",5,23,False,False,feature request,0.2915073335170746
S141,T032,spk_1,0:09:39,579,"For example, a common policy is that each game, it's uh, a pair of teams they too can sale, once in the in team A stadium and once in team B stadium, this is a common practice.","For example, a common policy is that each game, it's , a pair of teams they too can sale, once in the in team A stadium and once in team B stadium, this is a common practice.",6,37,False,False,agreement,0.48170387744903564
S142,T032,spk_1,0:09:39,579,So there was a need to determine the this kind of policy.,So there was a need to determine the this kind of policy.,7,12,False,False,constraint,0.23260276019573212
S143,T032,spk_1,0:09:39,579,"Maybe we'll like to have a minimal uh, time between matches among the same pair.","Maybe we'll like to have a minimal , time between matches among the same pair.",8,15,False,False,feature request,0.19487668573856354
S144,T032,spk_1,0:09:39,579,"Uh, maybe it would like to say, uh set the date for uh, the day in the week in which the competition will take place, and many other things that regarding that policy.",", maybe it would like to say, set the date for , the day in the week in which the competition will take place, and many other things that regarding that policy.",9,32,False,False,clarification,0.22747261822223663
S145,T032,spk_1,0:09:39,579,So this kind of constraints should be taken into account when executing the the scheduling algorithm.,So this kind of constraints should be taken into account when executing the scheduling algorithm.,10,15,False,False,constraint,0.5144520401954651
S146,T033,spk_2,0:11:13,673,Okay.,Okay.,0,1,True,False,clarification,0.3142276108264923
S147,T033,spk_2,0:11:13,673,Okay.,Okay.,1,1,True,False,clarification,0.31422728300094604
S148,T033,spk_2,0:11:13,673,And uh and how how would the referees take in this scheduling now?,And and how would the referees take in this scheduling now?,2,11,False,False,question,0.43607884645462036
S149,T033,spk_2,0:11:13,673,How how does it work now?,How does it work now?,3,5,False,False,question,0.6186721324920654
S150,T033,spk_2,0:11:13,673,I mean which referee is is assigned to which game?,which referee is assigned to which game?,4,7,False,False,question,0.4783635437488556
S151,T034,spk_1,0:11:24,684,Okay.,Okay.,0,1,True,False,clarification,0.31422725319862366
S152,T034,spk_1,0:11:24,684,"So in my view, the currently this is done also manually.","So in my view, the currently this is done also manually.",1,11,False,False,opinion,0.2189324051141739
S153,T034,spk_1,0:11:24,684,The administer calls the referee.,The administer calls the referee.,2,5,False,False,disagreement,0.21376961469650269
S154,T034,spk_1,0:11:24,684,Can you uh can you participate in that game?,Can you can you participate in that game?,3,8,False,False,question,0.3192351758480072
S155,T034,spk_1,0:11:24,684,"And that's how the scheduling is happening and the enforcement of this policy, again, it's done manually.","And that's how the scheduling is happening and the enforcement of this policy, again, it's done manually.",4,17,False,False,answer,0.2253866046667099
S156,T034,spk_1,0:11:24,684,"So for uh for the referee as well, the system should be uh should have some kind of uh guidance of how to allocate referees to games.","So for for the referee as well, the system should be should have some kind of guidance of how to allocate referees to games.",5,24,False,False,clarification,0.2098814696073532
S157,T034,spk_1,0:11:24,684,"For example, we wouldn't like the same refereee to participate in the game and two games of the same teams.","For example, we wouldn't like the same refereee to participate in the game and two games of the same teams.",6,20,False,False,disagreement,0.3541834354400635
S158,T034,spk_1,0:11:24,684,Okay.,Okay.,7,1,True,False,clarification,0.31422731280326843
S159,T034,spk_1,0:11:24,684,Okay.,Okay.,8,1,True,False,clarification,0.3142271637916565
S160,T034,spk_1,0:11:24,684,"Uh this yeah, for another example is that we would like to all referees to participate in the same number of games.","this yeah, for another example is that we would like to all referees to participate in the same number of games.",9,21,False,False,answer,0.24944083392620087
S161,T035,spk_2,0:12:27,747,"Okay,","Okay,",0,1,True,False,clarification,0.2985696494579315
S162,T036,spk_1,0:12:29,749,"So I would like the system to be able to uh facilitate the definition of such policy and then based on that policy to assign the referee to the games, it might be also that the system will enable the referees to install their preferences.","So I would like the system to be able to facilitate the definition of such policy and then based on that policy to assign the referee to the games, it might be also that the system will enable the referees to install their preferences.",0,44,False,False,feature request,0.320269376039505
S163,T036,spk_1,0:12:29,749,Okay.,Okay.,1,1,True,False,clarification,0.31422728300094604
S164,T036,spk_1,0:12:29,749,"For example, since I planned already my vacation for the next year, I cannot participate in these days.","For example, since I planned already my vacation for the next year, I cannot participate in these days.",2,18,False,False,disagreement,0.28396812081336975
S165,T036,spk_1,0:12:29,749,So when scheduling it will take these constraints as well.,So when scheduling it will take these constraints as well.,3,10,False,False,constraint,0.3631846606731415
S166,T037,spk_2,0:13:07,787,Okay.,Okay.,0,1,True,False,clarification,0.31422725319862366
S167,T037,spk_2,0:13:07,787,"And of course now, because it's done manually, we cannot accommodate such requests.","And of course now, because it's done manually, we cannot accommodate such requests.",1,13,False,False,constraint,0.30411216616630554
S168,T038,spk_1,0:13:11,791,Indeed.,Indeed.,0,1,True,False,answer,0.32318729162216187
S169,T039,spk_2,0:13:12,792,Okay.,Okay.,0,1,True,False,clarification,0.3142276406288147
S170,T039,spk_2,0:13:12,792,"And for the teams, currently do they have any input on the schedule, like they prefer some teams prefer to play in the weekends or specific days or anything.","And for the teams, currently do they have any input on the schedule, like they prefer some teams prefer to play in the weekends or specific days or anything.",1,29,False,False,question,0.4482876658439636
S171,T040,spk_1,0:13:20,800,The team doesn't have any say regarding the schedule.,The team doesn't have any say regarding the schedule.,0,9,False,False,opinion,0.24431541562080383
S172,T041,spk_2,0:13:23,803,And would you like them to have a say in the algorithm of the scheduling later on the system to be,And would you like them to have a say in the algorithm of the scheduling later on the system to be,0,21,False,False,question,0.28827741742134094
S173,T042,spk_1,0:13:27,807,No no no.,No.,0,1,True,False,disagreement,0.24274203181266785
S174,T042,spk_1,0:13:27,807,"Once you are scheduled for a season, it's done.","Once you are scheduled for a season, it's done.",1,9,False,False,agreement,0.5287429094314575
S175,T042,spk_1,0:13:27,807,Okay.,Okay.,2,1,True,False,clarification,0.31422749161720276
S176,T042,spk_1,0:13:27,807,"It cannot be changed unless there's one um, it might be reduced to certain circumstances.","It cannot be changed unless there's one , it might be reduced to certain circumstances.",3,15,False,False,constraint,0.3696848750114441
S177,T042,spk_1,0:13:27,807,The game is canceled.,The game is canceled.,4,4,False,False,disagreement,0.2441769540309906
S178,T042,spk_1,0:13:27,807,"The weather, Uh, something happened within the city area and things like that.","The weather, , something happened within the city area and things like that.",5,13,False,False,clarification,0.165830597281456
S179,T042,spk_1,0:13:27,807,"So in that sense, we need to reschedule the game.","So in that sense, we need to reschedule the game.",6,10,False,False,clarification,0.19256246089935303
S180,T042,spk_1,0:13:27,807,"So in that sense, in that case we need to allow manual adjustment of the schedule.","So in that sense, in that case we need to allow manual adjustment of the schedule.",7,16,False,False,clarification,0.2326878011226654
S181,T043,spk_2,0:14:02,842,Okay.,Okay.,0,1,True,False,clarification,0.3142276406288147
S182,T043,spk_2,0:14:02,842,Okay.,Okay.,1,1,True,False,clarification,0.31422749161720276
S183,T043,spk_2,0:14:02,842,And the system to be there would be a manual adjustment.,And the system to be there would be a manual adjustment.,2,11,False,False,correction,0.1870524138212204
S184,T043,spk_2,0:14:02,842,"Okay, sure.","Okay, sure.",3,2,True,False,agreement,0.3481680750846863
S185,T044,spk_1,0:14:07,847,"Another case that could be, it might be that the yeah.","Another case that could be, it might be that the yeah.",0,11,False,False,clarification,0.22020727396011353
S186,T044,spk_1,0:14:07,847,"When the system offers scheduling for the games throughout the year, the administration review it and see that there are problems.","When the system offers scheduling for the games throughout the year, the administration review it and see that there are problems.",1,21,False,False,disagreement,0.25499072670936584
S187,T044,spk_1,0:14:07,847,So we might override the results yet you need to explicate.,So we might override the results yet you need to explicate.,2,11,False,False,clarification,0.4851302206516266
